id	coleta	idteia	situacaoteia	cefafem	cefamac
f01	1	1	s	0,593	0,145
f03	1	3	a	0,493	0,177
f10	1	10	s	0,545	0,186
f11	1	11	s	0,607	0,234
f12	1	12	s	0,579	0,181
f13	1	13	s	0,587	0,194
f14	1	14	s	0,526	0,183
f19	1	19	a	0,559	0,26
f20	1	20	a	0,579	0,145
f30	1	30	a	0,54	0,182
f45	1	45	a	0,35	0,171
f45	1	45	a	0,35	0,144
f46	1	46	a	0,497	0,167
f51	1	51	s	0,453	0,22
f52	1	52	s	0,599	0,225
f54	1	54	s	0,519	0,18
f55	1	55	s	0,562	0,154
f56	1	56	s	0,561	0,251
f57	1	57	s	0,482	0,212
f58	1	58	s	0,526	0,183
f61	1	61	a	0,52	0,265
f77	2	77	s	0,45	0,193
f77	2	77	s	0,45	0,182
f78	2	78	s	0,442	0,19
f79	2	79	s	0,445	0,178
f79	2	79	s	0,445	0,172
f84	2	84	a	0,498	0,207
f85	2	85	a	0,545	0,152
f85	2	85	a	0,545	0,286
f86	2	86	a	0,475	0,139
f86	2	86	a	0,475	0,208
f86	2	86	a	0,475	0,2
f86	2	86	a	0,475	0,175
f86	2	86	a	0,475	0,166
f86	2	86	a	0,475	0,191
f86	2	86	a	0,475	0,182
f86	2	86	a	0,475	0,192
f88	2	88	a	0,384	0,166
f90	2	90	a	0,483	0,267
f90	2	90	a	0,483	0,242
f92	2	92	a	0,584	0,191
f92	2	92	a	0,584	0,225
f92	2	92	a	0,584	0,215
f94	2	94	a	0,502	0,213
f94	2	94	a	0,502	0,227
f94	2	94	a	0,502	0,171
f94	2	94	a	0,502	0,169
f95	2	95	a	0,571	0,143
f95	2	95	a	0,571	0,176
f97	2	97	a	0,349	0,184
f98	2	98	a	0,333	0,206
f99	2	99	a	0,401	0,216
f99	2	99	a	0,401	0,197
f100	2	100	a	0,51	0,18
f102	2	102	a	0,508	0,179
f103	2	103	a	0,397	0,197
f104	2	104	a	0,437	0,161
f106	2	106	a	0,516	0,128
f107	2	107	a	0,455	0,164
f109	2	109	s	0,447	0,241
f111	2	111	s	0,491	0,211
f113	2	113	s	0,465	0,197
f114	2	114	s	0,525	0,268
f115	2	115	s	0,559	0,226
f116	2	116	s	0,589	0,173
f116	2	116	s	0,589	0,218
f119	2	119	s	0,487	0,173
f120	2	120	s	0,427	0,189
f121	2	121	s	0,46	0,225
f122	2	122	s	0,535	0,198
f122	2	122	s	0,535	0,145
f123	2	123	s	0,554	0,206
f124	2	124	s	0,48	0,182
f125	2	125	s	0,493	0,221
f125	2	125	s	0,493	0,189
f126	2	126	s	0,478	0,158
f217	2	127	s	0,479	0,197
f129	2	129	s	0,513	0,175
f131	2	131	s	0,508	0,23
f132	2	132	s	0,471	0,177
f133	2	133	s	0,473	0,224
f134	2	134	a	0,533	0,175
f135	2	135	a	0,505	0,21
