id	coleta	sexo	posicao	idteia	situacaoteia	agreg	cefalotorax
f01	1	f	na	1	s	na	0,593
m01	1	m	c	1	s	na	0,145
f02	1	f	na	2	s	na	0,606
m02	1	m	c	3	a	1	0,177
f03	1	f	na	3	a	1	0,493
f04	1	f	na	4	a	1	0,517
f05	1	f	na	5	a	1	0,65
f06	1	f	na	6	a	1	0,445
f07	1	f	na	7	a	1	0,589
f08	1	f	na	8	a	1	0,641
f09	1	f	na	9	s	na	0,495
m03	1	m	c	10	s	na	0,186
f10	1	f	na	10	s	na	0,545
m05	1	m	c	11	s	na	0,234
f11	1	f	na	11	s	na	0,607
m06	1	m	p	12	s	na	0,181
f12	1	f	na	12	s	na	0,579
m07	1	m	c	13	s	na	0,194
f13	1	f	na	13	s	na	0,587
f14	1	f	na	14	s	na	0,526
m08	1	m	c	14	s	na	0,183
f15	1	f	na	15	s	na	0,554
f16	1	f	na	16	s	na	0,532
f17	1	f	na	17	a	2	0,484
f18	1	f	na	18	a	2	0,386
m09	1	m	c	19	a	2	0,26
f19	1	f	na	19	a	2	0,559
m10	1	m	c	20	a	2	0,145
f20	1	f	na	20	a	2	0,579
f21	1	f	na	21	a	2	0,495
f22	1	f	na	22	a	2	0,502
f23	1	f	na	23	a	2	0,588
f24	1	f	na	24	a	2	0,513
f25	1	f	na	25	a	2	0,585
f26	1	f	na	26	a	2	0,479
f27	1	f	na	27	a	2	0,591
f28	1	f	na	28	a	2	0,492
f29	1	f	na	29	a	2	0,464
m11	1	m	c	30	a	3	0,182
f30	1	f	na	30	a	3	0,54
f31	1	f	na	31	a	3	0,52
f32	1	f	na	32	a	3	0,569
f33	1	f	na	33	a	3	0,486
f34	1	f	na	34	a	3	0,425
f35	1	f	na	35	a	3	0,617
f36	1	f	na	36	a	3	0,554
f37	1	f	na	37	a	3	0,594
f38	1	f	na	38	a	3	0,564
f39	1	f	na	39	a	3	0,62
f40	1	f	na	40	a	3	0,476
f41	1	f	na	41	a	3	0,557
f42	1	f	na	42	a	3	0,633
f43	1	f	na	43	a	3	0,545
f44	1	f	na	44	a	3	0,499
m13	1	m	c	45	a	4	0,171
m14	1	m	p	45	a	4	0,144
f45	1	f	na	45	a	4	0,35
m15	1	m	c	46	a	4	0,167
f46	1	f	na	46	a	4	0,497
f47	1	f	na	47	a	4	0,549
f48	1	f	na	48	a	4	0,543
f49	1	f	na	49	s	na	0,63
f50	1	f	na	50	s	na	0,469
f51	1	f	na	51	s	na	0,453
m16	1	m	c	51	s	na	0,22
f52	1	f	na	52	s	na	0,599
m17	1	m	c	52	s	na	0,225
f53	1	f	na	53	s	na	0,458
f54	1	f	na	54	s	na	0,519
m18	1	m	c	54	s	na	0,18
f55	1	f	na	55	s	na	0,562
m19	1	m	c	55	s	na	0,154
f56	1	f	na	56	s	na	0,561
m20	1	m	c	56	s	na	0,251
f57	1	f	na	57	s	na	0,482
m21	1	m	c	57	s	na	0,212
f58	1	f	na	58	s	na	0,526
m22	1	m	c	58	s	na	0,183
f60	1	f	na	60	s	na	0,589
f61	1	f	na	61	a	5	0,52
m24	1	m	c	61	a	5	0,265
f62	1	f	na	62	a	5	0,538
f63	1	f	na	63	a	5	0,425
f64	1	f	na	64	a	5	0,492
f65	1	f	na	65	a	5	0,475
f66	1	f	na	66	s	na	0,519
f67	1	f	na	67	s	na	0,563
f68	1	f	na	68	s	na	0,456
f69	1	f	na	69	s	na	0,504
f70	1	f	na	70	s	na	0,449
f71	1	f	na	71	s	na	0,493
f72	1	f	na	72	s	na	0,572
f73	1	f	na	73	s	na	0,522
f74	1	f	na	74	s	na	0,47
f75	1	f	na	75	s	na	0,493
f76	1	f	na	76	s	na	0,575
m25	2	m	c	77	s	na	0,193
m26	2	m	p	77	s	na	0,182
f77	2	f	na	77	s	na	0,45
f78	2	f	na	78	s	na	0,442
m27	2	m	c	78	s	na	0,19
f79	2	f	na	79	s	na	0,445
m28	2	m	c	79	s	na	0,178
m29	2	m	p	79	s	na	0,172
f80	2	f	na	80	a	6	0,296
f81	2	f	na	81	a	6	0,368
f82	2	f	na	82	a	6	0,436
f83	2	f	na	83	a	6	0,301
m30	2	m	c	84	a	6	0,207
f84	2	f	na	84	a	6	0,498
f85	2	f	na	85	a	6	0,545
m31	2	m	p	85	a	6	0,152
m32	2	m	c	85	a	6	0,286
f86	2	f	na	86	a	6	0,475
m33	2	m	p	86	a	6	0,139
m34	2	m	p	86	a	6	0,208
m35	2	m	c	86	a	6	0,2
m36	2	m	p	86	a	6	0,175
m37	2	m	p	86	a	6	0,166
m38	2	m	p	86	a	6	0,191
m39	2	m	p	86	a	6	0,182
m40	2	m	p	86	a	6	0,192
f87	2	f	na	87	a	6	0,512
f88	2	f	na	88	a	7	0,384
m41	2	m	c	88	a	7	0,166
f89	2	f	na	89	a	7	0,343
f90	2	f	na	90	a	7	0,483
m42	2	m	c	90	a	7	0,267
m43	2	m	p	90	a	7	0,242
f91	2	f	na	91	a	8	0,357
m44	2	m	c	92	a	8	0,191
f92	2	f	na	92	a	8	0,584
f94	2	f	na	94	a	8	0,502
m49	2	m	c	94	a	8	0,213
m50	2	m	p	94	a	8	0,227
m51	2	m	p	94	a	8	0,171
m52	2	m	p	94	a	8	0,169
m55	2	m	p	95	a	9	0,143
m56	2	m	c	95	a	9	0,176
f95	2	f	na	95	a	9	0,571
f96	2	f	na	96	a	9	0,519
f97	2	f	na	97	a	9	0,349
m57	2	m	c	97	a	9	0,184
m58	2	m	c	98	a	9	0,206
f98	2	f	na	98	a	9	0,333
f99	2	f	na	99	a	9	0,401
m59	2	m	c	99	a	9	0,216
m60	2	m	p	99	a	9	0,197
f100	2	f	na	100	a	10	0,51
m61	2	m	c	100	a	10	0,18
m62	2	m	c	102	a	10	0,179
f102	2	f	na	102	a	10	0,508
f103	2	f	na	103	a	10	0,397
m63	2	m	c	103	a	10	0,197
f104	2	f	na	104	a	11	0,437
m64	2	m	c	104	a	11	0,161
f105	2	f	na	105	a	11	0,308
m65	2	m	p	106	a	11	0,128
f106	2	f	na	106	a	11	0,516
m66	2	m	c	107	a	11	0,164
f107	2	f	na	107	a	11	0,455
f108	2	f	na	108	s	na	0,404
f109	2	f	na	109	s	na	0,447
m67	2	m	c	109	s	na	0,241
f110	2	f	na	110	s	na	0,347
f111	2	f	na	111	s	na	0,491
m68	2	m	c	111	s	na	0,211
f112	2	f	na	112	s	na	0,544
f113	2	f	na	113	s	na	0,465
m69	2	m	c	113	s	na	0,197
f114	2	f	na	114	s	na	0,525
m70	2	m	c	114	s	na	0,268
f115	2	f	na	115	s	na	0,559
m71	2	m	c	115	s	na	0,226
f117	2	f	na	117	s	na	0,517
f118	2	f	na	118	s	na	0,521
f119	2	f	na	119	s	na	0,487
m74	2	m	c	119	s	na	0,173
f120	2	f	na	120	s	na	0,427
m75	2	m	c	120	s	na	0,189
f121	2	f	na	121	s	na	0,46
m76	2	m	c	121	s	na	0,225
f122	2	f	na	122	s	na	0,535
m77	2	m	c	122	s	na	0,198
m78	2	m	p	122	s	na	0,145
f123	2	f	na	123	s	na	0,554
m79	2	m	c	123	s	na	0,206
f124	2	f	na	124	s	na	0,48
m80	2	m	c	124	s	na	0,182
f125	2	f	na	125	s	na	0,493
m81	2	m	c	125	s	na	0,221
m82	2	m	p	125	s	na	0,189
f126	2	f	na	126	s	na	0,478
m83	2	m	c	126	s	na	0,158
f217	2	f	na	127	s	na	0,479
m84	2	m	c	127	s	na	0,197
f129	2	f	na	129	s	na	0,513
m85	2	m	c	129	s	na	0,175
f130	2	f	na	130	s	na	0,493
f131	2	f	na	131	s	na	0,508
m86	2	m	c	131	s	na	0,23
f132	2	f	na	132	s	na	0,471
m87	2	m	c	132	s	na	0,177
f133	2	f	na	133	s	na	0,473
m88	2	m	c	133	s	na	0,224
f134	2	f	na	134	a	12	0,533
m89	2	m	c	134	a	12	0,175
f135	2	f	na	135	a	12	0,505
m90	2	m	c	135	a	12	0,21
f136	2	f	na	136	a	12	0,473
