id	sexo	idteia	situacaoteia	corpo	pernae	pernad	cefalotorax	abdomen	acomp
f01	f	1	s	2,679	5,449	5,518	0,593	0,781	sim
f02	f	2	s	2,291	NA	5,65	0,606	0,498	nao
f03	f	3	a	1,992	5,005	4,844	0,493	0,466	sim
f04	f	4	a	2,078	NA	4,665	0,517	0,55	nao
f05	f	5	a	2,69	5,435	5,301	0,65	0,626	nao
f06	f	6	a	2,091	3,889	3,883	0,445	0,505	nao
f07	f	7	a	2,293	NA	5,434	0,589	0,496	nao
f08	f	8	a	2,358	6,01	5,839	0,641	0,51	nao
f09	f	9	s	2,106	4,866	4,676	0,495	0,578	nao
f10	f	10	s	2,269	4,913	5,062	0,545	0,591	sim
f11	f	11	s	2,707	5,234	4,979	0,607	0,739	sim
f12	f	12	s	2,747	5,198	5,162	0,579	0,714	sim
f13	f	13	s	2,472	5,63	5,606	0,587	0,583	sim
f14	f	14	s	2,471	NA	4,922	0,526	0,623	sim
f15	f	15	s	2,69	5,11	5,25	0,554	0,654	nao
f16	f	16	s	2,456	4,423	4,826	0,532	0,604	nao
f17	f	17	a	2,33	5,051	5,009	0,484	0,537	nao
f18	f	18	a	1,941	3,822	3,79	0,386	0,498	nao
f19	f	19	a	2,785	5,339	5,38	0,559	0,729	sim
f20	f	20	a	2,409	5,147	5,282	0,579	0,488	sim
f21	f	21	a	2,436	4,675	4,68	0,495	0,639	nao
f22	f	22	a	2,357	4,461	4,334	0,502	0,512	nao
f23	f	23	a	2,828	5,639	5,672	0,588	0,839	nao
f24	f	24	a	2,179	NA	4,639	0,513	0,425	nao
f25	f	25	a	2,693	5,797	NA	0,585	0,551	nao
f26	f	26	a	2,393	4,713	4,65	0,479	0,609	nao
f27	f	27	a	2,462	5,566	5,424	0,591	0,583	nao
f28	f	28	a	2,218	4,043	4,57	0,492	0,553	nao
f29	f	29	a	2,251	4,719	4,719	0,464	0,567	nao
f30	f	30	a	2,124	5,126	5,198	0,54	0,472	sim
f31	f	31	a	2,391	5,101	5,019	0,52	0,542	nao
f32	f	32	a	2,666	4,211	4,21	0,569	0,551	nao
f33	f	33	a	2,196	4,598	4,637	0,486	0,464	nao
f34	f	34	a	1,782	3,862	3,848	0,425	0,444	nao
f35	f	35	a	2,668	6,064	6,063	0,617	0,483	nao
f36	f	36	a	2,204	4,963	4,554	0,554	0,499	nao
f37	f	37	a	2,772	5,723	5,889	0,594	0,684	sim
f38	f	38	a	2,562	4,993	4,878	0,564	0,653	nao
f39	f	39	a	2,367	5,339	5,307	0,62	0,531	nao
f40	f	40	a	2,334	5,256	5,096	0,476	0,448	nao
f41	f	41	a	2,635	5,812	6,087	0,557	0,596	nao
f42	f	42	a	2,562	5,641	5,685	0,633	0,46	nao
f43	f	43	a	2,508	5,067	5,176	0,545	0,619	nao
f44	f	44	a	2,35	4,803	4,836	0,499	0,544	nao
f46	f	46	a	2,031	4,475	4,624	0,497	0,365	sim
f47	f	47	a	2,313	4,961	4,805	0,549	0,441	nao
f48	f	48	a	2,269	5,469	5,557	0,543	0,438	nao
f49	f	49	s	2,698	5,986	5,816	0,63	0,64	nao
f50	f	50	s	1,941	4,132	4,228	0,469	0,512	nao
f51	f	51	s	2,212	4,582	4,564	0,453	0,547	sim
f52	f	52	s	2,485	5,72	5,683	0,599	0,56	sim
f53	f	53	s	2,179	4,246	4,159	0,458	0,52	nao
f54	f	54	s	2,351	4,404	4,541	0,519	0,686	sim
f55	f	55	s	2,31	5,219	5,193	0,562	0,525	sim
f56	f	56	s	2,595	5,078	5,148	0,561	0,648	sim
f57	f	57	s	1,82	4,545	4,408	0,482	0,381	sim
f58	f	58	s	2,423	5,024	5,249	0,526	0,53	sim
f60	f	60	s	2,312	NA	5,163	0,589	0,522	nao
f61	f	61	a	2,478	4,723	4,853	0,52	0,574	sim
f62	f	62	a	2,242	4,886	4,916	0,538	0,359	nao
f63	f	63	a	1,88	4,208	4,16	0,425	0,439	nao
f64	f	64	a	2,143	4,88	4,971	0,492	0,419	nao
f65	f	65	a	2,259	4,452	4,431	0,475	0,612	nao
f66	f	66	s	2,213	5,24	5,135	0,519	0,497	nao
f67	f	67	s	2,642	5,444	5,554	0,563	0,549	nao
f68	f	68	s	2,409	4,559	4,479	0,456	0,267	nao
f69	f	69	s	2,363	4,656	4,382	0,504	0,545	nao
f70	f	70	s	2,109	4,495	4,524	0,449	0,377	nao
f71	f	71	s	2,268	5,231	5,206	0,493	0,274	nao
f72	f	72	s	2,383	5,086	5,025	0,572	0,384	nao
f73	f	73	s	2,686	5,293	5,303	0,522	0,461	nao
f74	f	74	s	2,094	4,451	4,352	0,47	0,438	nao
f75	f	75	s	2,097	NA	NA	0,493	0,339	nao
f76	f	76	s	2,513	5,283	5,401	0,575	0,41	nao
