id	sexo	teia	situacaoteia	agreg	corpo	pernae	pernad	cefalotorax	abdomen
f01	f	1	s	NA	2.679	5,449	5,518	0,593	0,781
m01	m	1	s	NA	0,524	1,633	1,636	0,145	0,121
f03	f	3	a	1	1,992	5,005	4,844	0,493	0,466
m02	m	3	a	1	0,591	1,579	1,824	0,177	0,112
f10	f	10	s	NA	2,269	4,913	5,062	0,545	0,591
m03	m	10	s	NA	0,557	NA	1,898	0,186	0,109
f11	f	11	s	NA	2,707	5,234	4,979	0,607	0,739
m05	m	11	s	NA	0,888	3,101	NA	0,234	0,17
f12	f	12	s	NA	2,747	5,198	5,162	0,579	0,714
m06	m	12	s	NA	0,593	NA	NA	0,181	0,109
f13	f	13	s	NA	2,472	5,63	5,606	0,587	0,583
m07	m	13	s	NA	0,659	2,403	NA	0,194	0,109
f14	f	14	s	NA	2,471	NA	4,922	0,526	0,623
m08	m	14	s	NA	0,628	NA	2,066	0,183	0,115
f19	f	19	a	2	2,785	5,339	5,38	0,559	0,729
m09	m	19	a	2	0,899	NA	3,397	0,26	0,177
f20	f	20	a	2	2,409	5,147	5,282	0,579	0,488
m10	m	20	a	2	0,541	1,945	NA	0,145	0,106
f30	f	30	a	3	2,124	5,126	5,198	0,54	0,472
m11	m	30	a	3	0,511	1,613	1,701	0,182	0,121
f37	f	37	a	3	2,772	5,723	5,889	0,594	0,684
f45	f	45	a	4	1,258	3,807	3,772	0,35	0,285
m13	m	45	a	4	0,655	2,174	NA	0,171	0,109
m14	m	45	a	4	0,448	1,511	1,501	0,144	0,101
f46	f	46	a	4	2,031	4,475	4,624	0,497	0,365
m15	m	46	a	4	0,488	NA	1,694	0,167	0,124
f51	f	51	s	NA	2,212	4,582	4,564	0,453	0,547
m16	m	51	s	NA	0,67	2,78	2,715	0,22	0,136
f52	f	52	s	NA	2,485	5,72	5,683	0,599	0,56
m17	m	52	s	NA	0,824	3,003	2,999	0,225	0,134
f54	f	54	s	NA	2,351	4,404	4,541	0,519	0,686
m18	m	54	s	NA	0,613	NA	2,064	0,18	0,129
f55	f	55	s	NA	2,31	5,219	5,193	0,562	0,525
m19	m	55	s	NA	0,503	1,788	1,687	0,154	0,111
f56	f	56	s	NA	2,595	5,078	5,148	0,561	0,648
m20	m	56	s	NA	0,796	2,944	2,9511	0,251	0,146
f57	f	57	s	NA	1,82	4,545	4,408	0,482	0,381
m21	m	57	s	NA	0,698	2,762	NA	0,212	0,119
f58	f	58	s	NA	2,423	5,024	5,249	0,526	0,53
m22	m	58	s	NA	0,597	2,062	2,137	0,183	0,135
f61	f	61	a	5	2,478	4,723	4,853	0,52	0,574
m24	m	61	a	5	0,86	2,917	2,881	0,265	0,149
