id	coleta	sexo	posicao	trilha	idteia	situacaoteia	agreg	cefalotorax	nacomp	acomp	nacomp2
f01	1	f	na	1	1	s	13	0,593	2	s	1
f02	1	f	na	1	2	s	14	0,606	1	n	0
f03	1	f	na	1	3	a	1	0,493	2	s	1
f04	1	f	na	1	4	a	1	0,517	1	n	0
f05	1	f	na	1	5	a	1	0,65	1	n	0
f06	1	f	na	1	6	a	1	0,445	1	n	0
f07	1	f	na	1	7	a	1	0,589	1	n	0
f08	1	f	na	1	8	a	1	0,641	1	n	0
f09	1	f	na	1	9	s	15	0,495	1	n	0
f10	1	f	na	1	10	s	16	0,545	2	s	1
f11	1	f	na	1	11	s	17	0,607	2	s	1
f12	1	f	na	1	12	s	18	0,579	2	s	1
f13	1	f	na	1	13	s	19	0,587	2	s	1
f14	1	f	na	2	14	s	20	0,526	2	s	1
f15	1	f	na	2	15	s	21	0,554	1	n	0
f16	1	f	na	2	16	s	22	0,532	1	n	0
f17	1	f	na	3	17	a	2	0,484	1	n	0
f18	1	f	na	3	18	a	2	0,386	1	n	0
f19	1	f	na	3	19	a	2	0,559	2	s	1
f20	1	f	na	3	20	a	2	0,579	2	s	1
f21	1	f	na	3	21	a	2	0,495	1	n	0
f22	1	f	na	3	22	a	2	0,502	1	n	0
f23	1	f	na	3	23	a	2	0,588	1	n	0
f24	1	f	na	3	24	a	2	0,513	1	n	0
f25	1	f	na	3	25	a	2	0,585	1	n	0
f26	1	f	na	3	26	a	2	0,479	1	n	0
f27	1	f	na	3	27	a	2	0,591	1	n	0
f28	1	f	na	3	28	a	2	0,492	1	n	0
f29	1	f	na	3	29	a	2	0,464	1	n	0
f30	1	f	na	sede	30	a	3	0,54	2	s	1
f31	1	f	na	sede	31	a	3	0,52	1	n	0
f32	1	f	na	sede	32	a	3	0,569	1	n	0
f33	1	f	na	sede	33	a	3	0,486	1	n	0
f34	1	f	na	sede	34	a	3	0,425	1	n	0
f35	1	f	na	sede	35	a	3	0,617	1	n	0
f36	1	f	na	sede	36	a	3	0,554	1	n	0
f37	1	f	na	sede	37	a	3	0,594	1	n	0
f38	1	f	na	sede	38	a	3	0,564	1	n	0
f39	1	f	na	sede	39	a	3	0,62	1	n	0
f40	1	f	na	sede	40	a	3	0,476	1	n	0
f41	1	f	na	sede	41	a	3	0,557	1	n	0
f42	1	f	na	sede	42	a	3	0,633	1	n	0
f43	1	f	na	sede	43	a	3	0,545	1	n	0
f44	1	f	na	sede	44	a	3	0,499	1	n	0
f45	1	f	na	sede	45	a	4	0,35	3	s	2
f46	1	f	na	sede	46	a	4	0,497	2	s	1
f47	1	f	na	sede	47	a	4	0,549	1	n	0
f48	1	f	na	sede	48	a	4	0,543	1	n	0
f49	1	f	na	1	49	s	23	0,63	1	n	0
f50	1	f	na	1	50	s	24	0,469	1	n	0
f51	1	f	na	4	51	s	25	0,453	2	s	1
f52	1	f	na	4	52	s	26	0,599	2	s	1
f53	1	f	na	4	53	s	27	0,458	1	n	0
f54	1	f	na	4	54	s	28	0,519	2	s	1
f55	1	f	na	3	55	s	29	0,562	2	s	1
f56	1	f	na	3	56	s	30	0,561	2	s	1
f57	1	f	na	3	57	s	31	0,482	2	s	1
f58	1	f	na	3	58	s	32	0,526	2	s	1
f60	1	f	na	3	60	s	33	0,589	1	n	0
f61	1	f	na	5	61	a	5	0,52	2	s	1
f62	1	f	na	5	62	a	5	0,538	1	n	0
f63	1	f	na	5	63	a	5	0,425	1	n	0
f64	1	f	na	5	64	a	5	0,492	1	n	0
f65	1	f	na	5	65	a	5	0,475	1	n	0
f66	1	f	na	sede	66	s	34	0,519	1	n	0
f67	1	f	na	sede	67	s	35	0,563	1	n	0
f68	1	f	na	6	68	s	36	0,456	1	n	0
f69	1	f	na	6	69	s	37	0,504	1	n	0
f70	1	f	na	6	70	s	38	0,449	1	n	0
f71	1	f	na	6	71	s	39	0,493	1	n	0
f72	1	f	na	6	72	s	40	0,572	1	n	0
f73	1	f	na	3	73	s	41	0,522	1	n	0
f74	1	f	na	sede	74	s	42	0,47	1	n	0
f75	1	f	na	sede	75	s	43	0,493	1	n	0
f76	1	f	na	1	76	s	44	0,575	1	n	0
f77	2	f	na	1	77	s	45	0,45	3	s	2
f78	2	f	na	1	78	s	46	0,442	2	s	1
f79	2	f	na	1	79	s	47	0,445	3	s	2
f80	2	f	na	3	80	a	6	0,296	1	n	0
f81	2	f	na	3	81	a	6	0,368	1	n	0
f82	2	f	na	3	82	a	6	0,436	1	n	0
f83	2	f	na	3	83	a	6	0,301	1	n	0
f84	2	f	na	3	84	a	6	0,498	2	s	1
f85	2	f	na	3	85	a	6	0,545	3	s	2
f86	2	f	na	3	86	a	6	0,475	9	s	8
f87	2	f	na	3	87	a	6	0,512	1	n	0
f88	2	f	na	3	88	a	7	0,384	2	s	1
f89	2	f	na	3	89	a	7	0,343	1	n	0
f90	2	f	na	3	90	a	7	0,483	3	s	2
f91	2	f	na	6	91	a	8	0,357	1	n	0
f92	2	f	na	6	92	a	8	0,584	2	s	1
f94	2	f	na	6	94	a	8	0,502	5	s	4
f95	2	f	na	1	95	a	9	0,571	3	s	2
f96	2	f	na	1	96	a	9	0,519	1	n	0
f97	2	f	na	1	97	a	9	0,349	2	s	1
f98	2	f	na	1	98	a	9	0,333	2	s	1
f99	2	f	na	1	99	a	9	0,401	3	s	2
f100	2	f	na	1	100	a	10	0,51	2	s	1
f102	2	f	na	1	102	a	10	0,508	2	s	1
f103	2	f	na	1	103	a	10	0,397	2	s	1
f104	2	f	na	1	104	a	11	0,437	2	s	1
f105	2	f	na	1	105	a	11	0,308	1	n	0
f106	2	f	na	1	106	a	11	0,516	2	s	1
f107	2	f	na	1	107	a	11	0,455	2	s	1
f108	2	f	na	1	108	s	48	0,404	1	n	0
f109	2	f	na	1	109	s	49	0,447	2	s	1
f110	2	f	na	1	110	s	50	0,347	1	n	0
f111	2	f	na	1	111	s	51	0,491	2	s	1
f112	2	f	na	1	112	s	52	0,544	1	n	0
f113	2	f	na	4	113	s	53	0,465	2	s	1
f114	2	f	na	4	114	s	54	0,525	2	s	1
f115	2	f	na	4	115	s	55	0,559	2	s	1
f116	2	f	na	4	116	s	56	0,589	3	s	2
f117	2	f	na	1	117	s	57	0,517	1	n	0
f118	2	f	na	4	118	s	58	0,521	1	n	0
f119	2	f	na	2	119	s	59	0,487	2	s	1
f120	2	f	na	2	120	s	60	0,427	2	s	1
f121	2	f	na	7	121	s	61	0,46	2	s	1
f122	2	f	na	7	122	s	62	0,535	3	s	2
f123	2	f	na	6	123	s	63	0,554	2	s	1
f124	2	f	na	3	124	s	64	0,48	2	s	1
f125	2	f	na	3	125	s	65	0,493	3	s	2
f126	2	f	na	3	126	s	66	0,478	2	s	1
f217	2	f	na	3	127	s	67	0,479	2	s	1
f129	2	f	na	3	129	s	68	0,513	2	s	1
f130	2	f	na	3	130	s	69	0,493	1	n	0
f131	2	f	na	3	131	s	70	0,508	2	s	1
f132	2	f	na	3	132	s	71	0,471	2	s	1
f133	2	f	na	1	133	s	72	0,473	2	s	1
f134	2	f	na	5	134	a	12	0,533	2	s	1
f135	2	f	na	5	135	a	12	0,505	2	s	1
f136	2	f	na	5	136	a	12	0,473	1	n	0
